r	Na-Na	Na-Cl	Cl-Cl
0.010000	0.000000	0.000000	0.000000
0.030000	0.000000	0.000000	0.000000
0.050000	0.000000	0.000000	0.000000
0.070000	0.000000	0.000000	0.000000
0.090000	0.000000	0.000000	0.000000
0.110000	0.000000	0.000000	0.000000
0.130000	0.000000	0.000000	0.000000
0.150000	0.000000	0.000000	0.000000
0.170000	0.000000	0.000000	0.000000
0.190000	0.000000	0.000000	0.000000
0.210000	0.000000	0.000000	0.000000
0.230000	0.000000	0.000000	0.000000
0.250000	0.000000	0.000000	0.000000
0.270000	0.000000	0.000000	0.000000
0.290000	0.000000	0.000000	0.000000
0.310000	0.000000	0.000000	0.000000
0.330000	0.000000	0.000000	0.000000
0.350000	0.000000	0.000000	0.000000
0.370000	0.000000	0.000000	0.000000
0.390000	0.000000	0.000000	0.000000
0.410000	0.000000	0.000000	0.000000
0.430000	0.000000	0.000000	0.000000
0.450000	0.000000	0.000000	0.000000
0.470000	0.000000	0.000000	0.000000
0.490000	0.000000	0.000000	0.000000
0.510000	0.000000	0.000000	0.000000
0.530000	0.000000	0.000000	0.000000
0.550000	0.000000	0.000000	0.000000
0.570000	0.000000	0.000000	0.000000
0.590000	0.000000	0.000000	0.000000
0.610000	0.000000	0.000000	0.000000
0.630000	0.000000	0.000000	0.000000
0.650000	0.000000	0.000000	0.000000
0.670000	0.000000	0.000000	0.000000
0.690000	0.000000	0.000000	0.000000
0.710000	0.000000	0.000000	0.000000
0.730000	0.000000	0.000000	0.000000
0.750000	0.000000	0.000000	0.000000
0.770000	0.000000	0.000000	0.000000
0.790000	0.000000	0.000000	0.000000
0.810000	0.000000	0.000000	0.000000
0.830000	0.000000	0.000000	0.000000
0.850000	0.000000	0.000000	0.000000
0.870000	0.000000	0.000000	0.000000
0.890000	0.000000	0.000000	0.000000
0.910000	0.000000	0.000000	0.000000
0.930000	0.000000	0.000000	0.000000
0.950000	0.000000	0.000000	0.000000
0.970000	0.000000	0.000000	0.000000
0.990000	0.000000	0.000000	0.000000
1.010000	0.000000	0.000000	0.000000
1.030000	0.000000	0.000000	0.000000
1.050000	0.000000	0.000000	0.000000
1.070000	0.000000	0.000000	0.000000
1.090000	0.000000	0.000000	0.000000
1.110000	0.000000	0.000000	0.000000
1.130000	0.000000	0.000000	0.000000
1.150000	0.000000	0.000000	0.000000
1.170000	0.000000	0.000000	0.000000
1.190000	0.000000	0.000000	0.000000
1.210000	0.000000	0.000000	0.000000
1.230000	0.000000	0.000000	0.000000
1.250000	0.000000	0.000000	0.000000
1.270000	0.000000	0.000000	0.000000
1.290000	0.000000	0.000144	0.000000
1.310000	0.000000	0.000000	0.000000
1.330000	0.000270	0.000135	0.000000
1.350000	0.000000	0.000000	0.000000
1.370000	0.000255	0.000637	0.000510
1.390000	0.000000	0.001856	0.001733
1.410000	0.000722	0.002405	0.001443
1.430000	0.002339	0.003859	0.003976
1.450000	0.003412	0.007165	0.005231
1.470000	0.007524	0.013831	0.005975
1.490000	0.009262	0.023048	0.012062
1.510000	0.015940	0.031355	0.017617
1.530000	0.022676	0.048620	0.030234
1.550000	0.033440	0.065288	0.035430
1.570000	0.054516	0.095550	0.051994
1.590000	0.062422	0.128439	0.077366
1.610000	0.089846	0.173143	0.092244
1.630000	0.119873	0.225437	0.125632
1.650000	0.156155	0.277268	0.167573
1.670000	0.182616	0.353481	0.207137
1.690000	0.240606	0.428027	0.252829
1.710000	0.300592	0.530157	0.296830
1.730000	0.361750	0.721459	0.347209
1.750000	0.414272	1.494314	0.431292
1.770000	0.474263	3.527619	0.487848
1.790000	0.562379	2.581321	0.558051
1.810000	0.648091	1.569891	0.646924
1.830000	0.703530	1.433590	0.718949
1.850000	0.793592	1.429222	0.771380
1.870000	0.871183	1.508690	0.883078
1.890000	0.944795	1.579676	0.966076
1.910000	1.032202	1.655233	1.037840
1.930000	1.102350	1.733173	1.109927
1.950000	1.169796	1.793382	1.185771
1.970000	1.237247	1.858620	1.220855
1.990000	1.295966	1.910218	1.281472
2.010000	1.363244	1.958840	1.340394
2.030000	1.376676	1.996646	1.371221
2.050000	1.436221	1.995529	1.407993
2.070000	1.452808	2.011512	1.442761
2.090000	1.474741	2.011177	1.469595
2.110000	1.483231	1.985544	1.462603
2.130000	1.473009	1.968060	1.480495
2.150000	1.483398	1.942283	1.496540
2.170000	1.503517	1.892158	1.462580
2.190000	1.465908	1.885357	1.446361
2.210000	1.442043	1.815756	1.443218
2.230000	1.437454	1.771635	1.446591
2.250000	1.409178	1.752337	1.404076
2.270000	1.384735	1.683362	1.388541
2.290000	1.368680	1.638019	1.355636
2.310000	1.325003	1.577568	1.334774
2.330000	1.320857	1.535346	1.307024
2.350000	1.269454	1.477984	1.268501
2.370000	1.256720	1.445132	1.244287
2.390000	1.203284	1.390036	1.205127
2.410000	1.172360	1.339735	1.171784
2.430000	1.154114	1.291017	1.138804
2.450000	1.130726	1.237722	1.118773
2.470000	1.113273	1.197866	1.074699
2.490000	1.057195	1.153949	1.069308
2.510000	1.055524	1.114886	1.038821
2.530000	1.008861	1.090461	1.015661
2.550000	0.991774	1.061406	0.988022
2.570000	0.975746	1.016769	0.958075
2.590000	0.951394	0.988873	0.940341
2.610000	0.923738	0.953361	0.924089
2.630000	0.904279	0.934875	0.916312
2.650000	0.883257	0.908772	0.901443
2.670000	0.871349	0.880795	0.883024
2.690000	0.865778	0.862265	0.858573
2.710000	0.853698	0.849650	0.851092
2.730000	0.849386	0.829873	0.840529
2.750000	0.844729	0.810800	0.845741
2.770000	0.828710	0.792252	0.853334
2.790000	0.847473	0.779552	0.851652
2.810000	0.864894	0.767587	0.882340
2.830000	0.909808	0.749616	0.895236
2.850000	1.034877	0.744280	0.987161
2.870000	1.470845	0.731912	1.343146
2.890000	2.981509	0.719958	3.209767
2.910000	2.213826	0.724091	2.378632
2.930000	1.359286	0.711122	1.271610
2.950000	0.959919	0.711809	0.929002
2.970000	0.858671	0.702634	0.851737
2.990000	0.808249	0.707859	0.805787
3.010000	0.795696	0.696717	0.789677
3.030000	0.759489	0.700355	0.772097
3.050000	0.752235	0.704839	0.753674
3.070000	0.750636	0.702404	0.748911
3.090000	0.738997	0.707130	0.742804
