No	Na_eng	Na_rad	Cl_eng	Cl_rad
1	0.007875	0.577141	0.022466	0.799365
2	0.021051	0.577302	0.009643	0.799148
3	0.021822	0.577311	0.019148	0.799309
4	0.019665	0.577285	0.006212	0.799090
5	0.024227	0.577341	0.017005	0.799273
6	0.012655	0.577199	0.014365	0.799228
7	0.021552	0.577308	0.011551	0.799181
8	0.020466	0.577295	0.023875	0.799389
9	0.005811	0.577116	0.015956	0.799255
10	0.011608	0.577187	0.023487	0.799382
11	0.012389	0.577196	0.015096	0.799240
12	0.013869	0.577214	0.011830	0.799185
13	0.031506	0.577430	0.020933	0.799339
14	0.018240	0.577268	0.009900	0.799153
15	0.021343	0.577305	0.019389	0.799313
16	0.016161	0.577242	0.016567	0.799265
17	0.015445	0.577233	0.028451	0.799466
18	0.017950	0.577264	0.012753	0.799201
19	0.012202	0.577194	0.005604	0.799080
20	0.019394	0.577282	0.028495	0.799467
21	0.013449	0.577209	0.013432	0.799212
22	0.013674	0.577212	0.022491	0.799365
23	0.012838	0.577202	0.026200	0.799428
24	0.022690	0.577322	0.017009	0.799273
25	0.022857	0.577324	0.024786	0.799404
26	0.013284	0.577207	0.023670	0.799385
27	0.013118	0.577205	0.005347	0.799076
28	0.016066	0.577241	0.005317	0.799075
29	0.023979	0.577338	0.023873	0.799389
30	0.014569	0.577223	0.015028	0.799239
31	0.020998	0.577301	0.018311	0.799295
32	0.023732	0.577335	0.018619	0.799300
33	0.015329	0.577232	0.013107	0.799207
34	0.013297	0.577207	0.020809	0.799337
35	0.014665	0.577224	0.023335	0.799380
36	0.018916	0.577276	0.022174	0.799360
37	0.005378	0.577111	0.010619	0.799165
38	0.022821	0.577323	0.015636	0.799250
39	0.010415	0.577172	0.020337	0.799329
40	0.015541	0.577235	0.015139	0.799241
41	0.015210	0.577231	0.010896	0.799169
42	0.010275	0.577170	0.011715	0.799183
43	0.011372	0.577184	0.010125	0.799156
44	0.025453	0.577356	0.024334	0.799397
45	0.017430	0.577258	0.011261	0.799176
46	0.010877	0.577178	0.019539	0.799316
47	0.013867	0.577214	0.024291	0.799396
48	0.016925	0.577252	0.017264	0.799277
