No	Na	x	y	z	Cl	x	y	z
1	25.078501	-12.511559	-21.619299	-2.235624	16.138080	-0.310425	-16.026342	-1.870190
2	20.143525	16.642759	3.929325	-10.646152	14.381271	-0.383859	-11.941111	-8.005216
3	22.132386	-16.525181	-14.654131	-1.420329	10.503896	2.419568	-10.176968	-0.952290
4	22.682661	13.441559	17.517885	5.191465	10.404946	-6.658859	7.640709	2.354158
5	3.356513	-1.679891	1.937656	-2.165558	9.946041	3.341830	8.513658	-3.908138
6	18.893732	-15.331206	-8.859478	-6.590666	21.958592	-13.518685	-10.187977	13.986781
7	24.177006	23.936581	-0.181008	-3.396318	22.824917	8.024266	-21.365623	-0.313258
8	34.533710	5.804197	-33.847168	3.641106	6.306768	2.044102	-5.791344	1.434329
9	17.466229	-10.034765	14.033893	-2.724425	25.411266	12.708113	-10.538599	-19.317719
10	20.164229	-4.557283	-8.867652	-17.526896	12.415057	-11.272350	4.673430	-2.286219
11	12.639899	-8.056648	1.790102	-9.573558	7.599287	-4.910913	5.219344	-2.527952
12	20.734084	3.529827	-17.273861	-10.911291	20.819861	-0.682436	-12.327608	-16.763979
13	19.167025	15.486418	-3.949157	10.580636	25.775841	-11.675880	21.122452	9.050405
14	19.521151	-19.071547	-4.079716	0.841056	15.355227	12.146754	1.789114	-9.221628
15	5.636935	5.636066	-0.062708	-0.076590	8.415321	3.582883	1.194852	-7.520166
16	28.688581	-4.898610	9.571370	26.597504	22.295073	-21.207916	6.877090	-0.013719
17	33.894666	-7.978034	-21.932205	24.580027	1.772653	-0.207215	1.662268	0.579851
18	12.180831	10.339762	2.963228	-5.716753	22.936758	-20.966391	3.357661	-8.673606
19	22.291786	8.901920	-14.757953	-14.137976	25.237276	-16.139757	-16.146896	10.756676
20	11.744342	-2.289264	6.723489	-9.353264	20.438675	14.108029	10.179615	-10.727459
21	23.851135	21.211868	-2.473428	10.621462	7.023884	0.198528	-5.374646	4.517601
22	17.099343	2.440147	9.633417	13.915117	12.833564	11.712342	-4.363036	2.912958
23	8.159384	-0.686133	-8.054685	-1.107621	10.933421	9.079260	-0.824614	6.035457
24	32.481619	-28.668423	-8.066606	-12.965607	10.406530	-5.812477	3.979347	7.660011
25	17.961451	-9.217453	0.959885	15.386062	19.652808	4.279312	18.946260	-2.993251
26	30.765135	-0.608792	18.711191	-24.413403	16.828647	3.911965	2.753999	16.134293
